Country;Web Index score;Universal Access;Education and awareness;UN_B;WB_H;WB_D;Q40;ITU_P;Q38;Q39;Q41;Q42;Access and Affordability;Q18;ITU_Ræ;ITU_Sæ;Q20;ITU_Jæ;ITU_B;WI_B;WEF_B;WI_C;Q19;Communications Infrastructure;IEA_A;Q1;ITU_L;ITU_G;WI_D;WB_A;ITU_K;ITU_A;Q53;ITU_O;Relevant Content;Web use;ITU_N;SOCIAL_NETWORKS_A;Q52;WI_F;Q49;Content creation;Q14;Q15;Q16;Q13;Q2;WIKI_A;UN_C;Q5;Q47;Q46;Q45;Q43;Q44;ODB.2013.D1-D15;Q3;Q4;Freedom and Openness;Freedom of the Web;FH_Bæ;EIU_A;Q10;ODB.2013.C.RTI;ODB.2013.C.CSOC;ODB.2013.C.INIT;FH_Aæ;RSF_Aæ;WEF_A;Q7;Q11;Impact and Empowerment;Political impact;ODB.2013.I.ACCOUNT;UN_D;WEF_C;Q29;Q30;Q28;Q31;Q36;Q37;Q34;Q33;Q32;Q35;Social and environmental;ODB.2013.I.ENV;ODB.2013.I.INC;Q51;Q50;Q6;Q48;Economic impact;Q12;Q17;INSEAD_A;ODB.2013.I.ECON;ODB.2013.I.GOV;ODB.2013.C.SUPIN;ODB.2013.I.ENTR;WEF_L;EM_A;Q8;Q9
Argentina;55.2;47.1;45.9;97.8;1.1;221.0;5.0;N/A;3.0;3.0;10.0;0.0;67.9;5.0;;;10.0;;;;;;3.0;47.2;97.2;5.0;N/A;;;41.8;;;0.0;;71.5;82.8;;50.9;10.0;;10.0;56.1;5.0;5.0;5.0;5.0;10.0;850984.5;0.5;0.0;3.0;10.0;10.0;5.0;5.0;36.8;10.0;10.0;52.2;52.2;2.0;5.6;5.0;3.0;4.0;6.0;2.0;25.7;;7.0;7.0;39.8;49.7;2.0;0.3;;10.0;3.0;5.0;10.0;5.0;10.0;7.0;5.0;7.0;5.0;47.2;1.0;2.0;5.0;5.0;10.0;5.0;33.4;10.0;0.0;37.7;0.0;0.0;4.0;0.0;;;5.0;3.0
;Z:0.1;Z:-0.07;Z:-0.18;Z:0.85;Z:1.35;Z:-0.67;Z:-0.65;;Z:-0.85;Z:-0.95;Z:1.03;Z:-1.56;Z:0.17;Z:0.32;Z:0.23;Z:0.18;Z:1.72;Z:0.13;Z:-0.19;Z:0.35;Z:-0.6;Z:-0.46;Z:-0.01;Z:-0.19;Z:0.56;Z:-0.45;;Z:0.01;Z:-0.59;Z:-0.53;Z:0.34;Z:-0.41;Z:-1.8;Z:-0.46;Z:0.52;Z:0.86;Z:0.18;Z:0.93;Z:0.74;Z:1.28;Z:1.18;Z:0.17;Z:0.17;Z:0.06;Z:-0.52;Z:-0.68;Z:1.09;Z:0.18;Z:-0.17;Z:-1.33;Z:-0.7;Z:1.14;Z:1.52;Z:-0.37;Z:-0.1;Z:0.17;Z:1.12;Z:1.18;Z:-0.03;Z:-0.03;Z:0.5;Z:0.05;Z:-0.46;Z:-0.75;Z:-0.09;Z:0.58;Z:0.43;Z:0.23;Z:-1.52;Z:-0.15;Z:0.78;Z:-0.01;Z:-0.01;Z:0.15;Z:-0.29;Z:-1.58;Z:1.02;Z:-0.89;Z:-0.76;Z:1.27;Z:-0.04;Z:1.15;Z:0.28;Z:-0.09;Z:0.16;Z:-0.49;Z:0.24;Z:0.07;Z:1.4;Z:0.05;Z:-0.09;Z:0.95;Z:-0.92;Z:-0.28;Z:1.5;Z:-1.1;Z:-0.21;Z:-0.59;Z:-0.71;Z:0.72;Z:-0.74;Z:-0.46;Z:-0.14;Z:-0.54;Z:-0.74
Australia;86.4;82.4;75.8;N/A;1.0;1127.2;10.0;;10.0;10.0;10.0;3.0;94.5;7.0;;;10.0;;;;;;5.0;74.6;100.0;5.0;;;N/A;1724.5;;;5.0;;92.6;91.4;;55.3;10.0;;10.0;86.5;3.0;7.0;10.0;10.0;7.0;3174394.0;0.9;7.0;10.0;7.0;10.0;10.0;10.0;64.3;10.0;7.0;67.7;67.7;1.0;7.8;7.0;7.0;8.0;8.0;1.0;15.2;;7.0;0.0;74.3;88.0;4.0;0.8;;10.0;10.0;10.0;10.0;7.0;7.0;10.0;10.0;10.0;10.0;71.1;2.0;2.0;7.0;10.0;10.0;10.0;68.2;7.0;7.0;53.1;4.0;4.0;4.0;1.0;;;10.0;10.0
;Z:0.79;Z:0.73;Z:0.59;;Z:0.31;Z:0.54;Z:0.91;Z:0.26;Z:0.96;Z:0.94;Z:1.03;Z:-0.26;Z:1.05;Z:1.04;Z:0.42;Z:0.31;Z:1.72;Z:0.19;Z:0.89;Z:1.62;Z:1.33;Z:2.06;Z:0.86;Z:0.56;Z:0.65;Z:-0.45;Z:1.21;Z:0.39;;Z:1.7;Z:0.34;Z:0.16;Z:-0.07;Z:0.45;Z:1.07;Z:1.12;Z:1.08;Z:1.14;Z:0.74;Z:1.46;Z:1.18;Z:1.02;Z:-0.41;Z:0.69;Z:1.04;Z:1.07;Z:0.19;Z:2.66;Z:1.25;Z:1.02;Z:1.44;Z:0.18;Z:1.52;Z:1.12;Z:1.6;Z:1.54;Z:1.12;Z:0.26;Z:0.37;Z:0.37;Z:1.08;Z:1.21;Z:0.18;Z:0.79;Z:1.32;Z:1.34;Z:0.93;Z:0.88;Z:0.96;Z:-0.15;Z:-1.66;Z:0.99;Z:1.02;Z:1.16;Z:1.3;Z:0.23;Z:1.02;Z:1.16;Z:0.99;Z:1.27;Z:0.56;Z:0.17;Z:1.36;Z:1.47;Z:1.33;Z:1.23;Z:1.02;Z:0.63;Z:1.4;Z:0.62;Z:1.47;Z:0.95;Z:1.06;Z:0.94;Z:0.38;Z:1.3;Z:1.07;Z:1.65;Z:1.84;Z:0.72;Z:-0.23;Z:0.74;Z:0.4;Z:0.98;Z:1.49
Austria;84.8;85.9;93.5;N/A;1.0;1996.3;10.0;N/A;10.0;10.0;10.0;7.0;89.4;5.0;;;10.0;;;;;;5.0;72.8;100.0;10.0;;;N/A;1134.7;;;5.0;;82.2;81.3;;35.1;10.0;;10.0;77.7;5.0;5.0;10.0;10.0;10.0;1250114.0;0.7;3.0;5.0;10.0;10.0;10.0;10.0;40.0;10.0;10.0;78.6;78.6;1.0;7.8;10.0;2.0;8.0;5.0;1.0;9.4;;10.0;7.0;66.4;89.3;2.0;0.4;;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;47.1;2.0;1.0;10.0;0.0;5.0;10.0;69.8;10.0;3.0;51.9;3.0;4.0;3.0;5.0;;;10.0;10.0
;Z:0.75;Z:0.81;Z:1.04;;Z:0.26;Z:1.7;Z:0.91;;Z:0.96;Z:0.94;Z:1.03;Z:1.48;Z:0.88;Z:0.32;Z:0.43;Z:0.32;Z:1.72;Z:0.2;Z:0.91;Z:1.12;Z:1.01;Z:1.9;Z:0.86;Z:0.51;Z:0.65;Z:0.94;Z:-0.27;Z:0.39;;Z:0.92;Z:0.34;Z:0.63;Z:-0.07;Z:0.45;Z:0.8;Z:0.82;Z:1.03;Z:0.18;Z:0.74;Z:0.97;Z:1.18;Z:0.77;Z:0.17;Z:0.06;Z:1.04;Z:1.07;Z:1.09;Z:0.61;Z:0.75;Z:-0.32;Z:-0.09;Z:1.14;Z:1.52;Z:1.12;Z:1.6;Z:0.33;Z:1.12;Z:1.18;Z:0.64;Z:0.64;Z:1.08;Z:1.21;Z:1.12;Z:-1.14;Z:1.32;Z:0.2;Z:0.93;Z:1.24;Z:0.82;Z:0.79;Z:0.78;Z:0.76;Z:1.05;Z:0.15;Z:-0.02;Z:1.14;Z:1.02;Z:1.16;Z:0.99;Z:1.27;Z:1.46;Z:1.15;Z:1.36;Z:1.47;Z:1.33;Z:1.23;Z:0.24;Z:0.63;Z:0.49;Z:1.48;Z:-1.65;Z:-0.58;Z:1.06;Z:1.0;Z:1.5;Z:-0.07;Z:0.97;Z:1.09;Z:1.84;Z:0.29;Z:1.81;Z:0.14;Z:0.91;Z:0.98;Z:1.49
Bahrain;38.4;53.1;57.2;91.9;N/A;N/A;10.0;;5.0;7.0;10.0;0.0;71.8;5.0;;;5.0;;;;;;3.0;46.7;99.4;7.0;;;;135.8;;;3.0;;59.3;71.9;;44.6;10.0;N/A;5.0;44.8;7.0;3.0;7.0;7.0;5.0;278800.0;N/A;0.0;5.0;5.0;7.0;3.0;5.0;20.5;10.0;7.0;13.6;13.6;6.0;2.8;5.0;1.0;2.0;5.0;6.0;62.8;;3.0;5.0;28.9;48.3;0.0;0.7;;7.0;5.0;7.0;5.0;3.0;10.0;5.0;7.0;3.0;5.0;15.2;0.0;0.0;5.0;0.0;5.0;3.0;37.1;10.0;3.0;36.1;0.0;0.0;2.0;0.0;;N/A;5.0;5.0
;Z:-0.27;Z:0.07;Z:0.11;Z:0.53;;;Z:0.91;Z:0.04;Z:-0.33;Z:0.13;Z:1.03;Z:-1.56;Z:0.29;Z:0.32;Z:0.4;Z:0.31;Z:0.39;Z:0.15;Z:-0.05;Z:0.49;Z:0.69;Z:0.27;Z:-0.01;Z:-0.2;Z:0.63;Z:0.11;Z:0.24;Z:0.48;Z:0.91;Z:-0.41;Z:-2.87;Z:-0.46;Z:-0.76;Z:-0.46;Z:0.2;Z:0.54;Z:1.27;Z:0.63;Z:0.74;;Z:-0.48;Z:-0.14;Z:0.76;Z:-0.56;Z:0.1;Z:0.02;Z:-0.42;Z:-0.43;;Z:-1.33;Z:-0.09;Z:-0.46;Z:0.62;Z:-0.97;Z:-0.1;Z:-0.64;Z:1.12;Z:0.26;Z:-1.01;Z:-1.01;Z:-1.79;Z:-1.41;Z:-0.46;Z:-1.52;Z:-0.79;Z:0.2;Z:-1.58;Z:-2.08;Z:0.01;Z:-1.4;Z:0.08;Z:-0.33;Z:-0.05;Z:-0.87;Z:0.94;Z:1.52;Z:-0.04;Z:-0.3;Z:-0.06;Z:-0.48;Z:-0.65;Z:1.15;Z:-0.45;Z:0.54;Z:-1.4;Z:-0.49;Z:-0.8;Z:-0.5;Z:-0.43;Z:0.05;Z:-1.65;Z:-0.58;Z:-1.71;Z:-0.15;Z:1.5;Z:-0.07;Z:-0.35;Z:-0.59;Z:-0.71;Z:-0.14;Z:-0.74;Z:0.29;;Z:-0.54;Z:-0.11
Bangladesh;24.4;25.1;38.1;56.8;N/A;N/A;5.0;;7.0;7.0;5.0;0.0;38.8;0.0;;;0.0;;;;;;0.0;35.3;46.5;3.0;;;;0.7;;;5.0;;24.4;15.0;;2.3;7.0;;5.0;40.2;7.0;5.0;10.0;5.0;5.0;17656.5;0.4;7.0;0.0;5.0;7.0;5.0;5.0;13.2;3.0;3.0;40.3;40.3;4.0;5.0;3.0;8.0;0.0;2.0;3.0;42.0;;3.0;3.0;16.4;28.3;0.0;0.1;;10.0;3.0;7.0;3.0;3.0;7.0;5.0;0.0;5.0;5.0;21.0;0.0;0.0;3.0;3.0;5.0;5.0;15.8;5.0;0.0;24.5;0.0;0.0;0.0;0.0;;N/A;3.0;3.0
;Z:-0.58;Z:-0.57;Z:-0.38;Z:-1.33;;;Z:-0.65;Z:0.92;Z:0.19;Z:0.13;Z:-0.38;Z:-1.56;Z:-0.8;Z:-1.51;Z:0.28;Z:-0.12;Z:-0.94;Z:0.17;Z:-1.0;Z:-1.0;Z:-1.48;Z:-1.06;Z:-1.31;Z:-0.52;Z:-1.18;Z:-1.01;Z:-0.53;Z:0.39;Z:-0.87;Z:-0.59;Z:0.34;Z:-0.64;Z:-0.07;Z:-0.56;Z:-0.71;Z:-1.16;Z:-1.49;Z:-1.39;Z:-0.57;Z:-1.87;Z:-0.48;Z:-0.27;Z:0.76;Z:0.06;Z:1.04;Z:-0.68;Z:-0.42;Z:-0.71;Z:-0.53;Z:1.02;Z:-1.61;Z:-0.46;Z:0.62;Z:-0.37;Z:-0.1;Z:-1.0;Z:-0.94;Z:-0.98;Z:-0.33;Z:-0.33;Z:-0.64;Z:-0.24;Z:-1.09;Z:1.18;Z:-1.5;Z:-0.94;Z:-0.07;Z:-0.79;Z:0.62;Z:-1.4;Z:-0.61;Z:-0.7;Z:-0.58;Z:-0.87;Z:-0.99;Z:-0.93;Z:1.02;Z:-0.89;Z:-0.06;Z:-1.18;Z:-0.65;Z:0.17;Z:-0.45;Z:-1.65;Z:-0.62;Z:-0.49;Z:-0.61;Z:-0.5;Z:-0.43;Z:-0.52;Z:-0.72;Z:-0.58;Z:-0.92;Z:-0.89;Z:-0.37;Z:-1.1;Z:-1.31;Z:-0.59;Z:-0.71;Z:-1.0;Z:-0.74;Z:-1.22;;Z:-1.15;Z:-0.74
